rank,canonical_drug_id,drug_name,canonical_smiles,target_genes,PATHWAY_NAME_NORMALIZED,classification,mean_pred_ln_ic50,ensemble_score,screened_rows
13,1559,Luminespib,CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1,HSP90,Protein stability and degradation,screened_candidate,-1.5746858,1.5746858,16
14,1862,MG-132,CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,CAPN1;PROTEASOME,Protein stability and degradation,screened_candidate,-1.3018019,1.3018019,16
15,1180,Dinaciclib,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12,CDK1;CDK2;CDK5;CDK9,Cell cycle,screened_candidate,-1.258685,1.258685,14
16,1511,Epirubicin,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,ANTHRACYCLINE;TOP2A;TOP2B,DNA replication,indication_expansion,-0.8394349,0.8394349,16
17,1808,Topotecan,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,TOP1;TOP1MT,DNA replication,screened_candidate,-0.6405584,0.6405584,12
18,1084,Rapamycin,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,MTOR,PI3K/MTOR signaling,indication_expansion,-0.6222797,0.6222797,15
19,1372,Trametinib,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,MAP2K1;MAP2K2,ERK MAPK signaling,approved,-0.60813606,0.60813606,16
20,1057,Dactolisib,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,MTOR;PIK3CG,PI3K/MTOR signaling,screened_candidate,-0.2115351,0.2115351,16
21,1843,LMP744,COc1cc2c3c(n(CCCNCCO)c(=O)c2cc1OC)-c1cc2c(cc1C3=O)OCO2,TOP1,DNA replication,screened_candidate,0.070140935,-0.070140935,12
22,1024,Lestaurtinib,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,FLT3;JAK2;NTRK1;NTRK2;NTRK3,Other kinases,screened_candidate,0.101560704,-0.101560704,16
23,1026,Tanespimycin,C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,HSP90;HSP90AA1;HSP90AB1,Protein stability and degradation,indication_expansion,0.15356341,-0.15356341,16
24,1086,BI-2536,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,PLK1;PLK2;PLK3,Cell cycle,screened_candidate,0.30709526,-0.30709526,16
25,1059,AZD8055,COc1ccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)cc1CO,MTOR,PI3K/MTOR signaling,screened_candidate,0.3199856,-0.3199856,14
26,1825,Podophyllotoxin bromide,COc1cc(C2c3cc4c(cc3C(Br)C3COC(=O)C23)OCO4)cc(OC)c1OC,,Unclassified,screened_candidate,0.32138953,-0.32138953,12
27,1008,Methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,ANTIMETABOLITE;ATIC;DHFR;SLC19A1;SLC46A1;TYMS,DNA replication,indication_expansion,0.35726675,-0.35726675,16
28,1031,Elesclomol,CN(NC(=O)CC(=O)NN(C)C(=S)c1ccccc1)C(=S)c1ccccc1,HSP90,Protein stability and degradation,screened_candidate,0.3856683,-0.3856683,2
29,1809,Teniposide,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,TOP2A;TOP2B,DNA replication,screened_candidate,0.41537663,-0.41537663,12
30,1190,Gemcitabine,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,CMPK1;RRM1;RRM2;TYMS,DNA replication,indication_expansion,0.5354283,-0.5354283,16
